,ダウンロードした時刻：2023/12/14 21:16:16,,,,,,,,
,,,,,,,,,
,,,,種子島,種子島,種子島,種子島,種子島,種子島
,年,月,日,降水量の合計(mm),降水量の合計(mm),平均風速(m/s),平均気温(℃),最高気温(℃),最低気温(℃)
,,,,,,,,,
,,,,,現象なし情報,,,,
site,year,month,day,rainfall,rainfall10,wind_speed,temp_mean,temp_max,temp_min
tane,2020,7,1,29.5,0,6,24.3,26.9,21.9
tane,2020,7,2,1.5,0,3.9,24.4,27.3,20.8
tane,2020,7,3,72,0,6.8,25.6,27.2,23.6
tane,2020,7,4,13,0,8.2,26.8,28.8,25.1
tane,2020,7,5,83,0,5.8,25.4,27.1,23.8
tane,2020,7,6,1.5,0,8.4,28,30.1,27
tane,2020,7,7,1,0,8.5,28.5,30.5,27.4
tane,2020,7,8,49.5,0,6.8,25.5,27.8,24.3
tane,2020,7,9,169,0,4.8,25,27.3,23.3
tane,2020,7,10,7,0,6,27.4,31.6,23.9
tane,2020,7,11,0,0,6.6,28.6,31.3,27.4
tane,2020,7,12,0,1,2.6,27.6,30.4,25.6
tane,2020,7,13,0,1,5.2,28.3,31.5,25.1
tane,2020,7,14,0,0,7.7,26.7,29,23.9
tane,2020,7,15,0,0,6.1,24.5,26.3,22.3
tane,2020,7,16,17.5,0,2.7,23,24.9,21.9
tane,2020,7,17,38.5,0,2.4,24.1,27.1,22.2
tane,2020,7,18,13.5,0,2.4,24.4,27.6,21.8
tane,2020,7,19,0.5,0,3.1,27.2,30.7,24
tane,2020,7,20,0,1,3.4,28.6,31.5,26.1
tane,2020,7,21,0,1,4.2,28.3,30.9,25.9
tane,2020,7,22,0,1,4.6,27.8,30.4,26
tane,2020,7,23,0,1,3.3,28.4,31.2,26.1
tane,2020,7,24,41,0,6.9,27.2,29.5,24
tane,2020,7,25,100,0,5.1,25.2,28,23.8
tane,2020,7,26,59,0,4.3,25.8,28.9,21.5
tane,2020,7,27,0,1,5.3,28.7,31.4,26.6
tane,2020,7,28,0,1,4.4,28.7,32.6,26.1
tane,2020,7,29,0,1,2.3,28.1,31.7,25
tane,2020,7,30,0,0,2.6,28.5,31.8,25.6
tane,2020,7,31,0,1,3.3,28.9,31.3,26.5
tane,2020,8,1,0,1,3.4,28.2,30.2,26.7
tane,2020,8,2,0,1,3,27.9,30.9,24.5
tane,2020,8,3,0,1,3,27.4,31.8,23.5
tane,2020,8,4,0,1,3,28.4,32.5,24.5
tane,2020,8,5,0,1,2.9,28.4,33.1,24.4
tane,2020,8,6,0,1,2.8,28.3,32,25.1
tane,2020,8,7,0,1,3.7,28.5,31.9,24.4
tane,2020,8,8,0,1,3.9,29.4,33,26.7
tane,2020,8,9,0,0,5.9,29.1,32.3,26.3
tane,2020,8,10,12.5,0,7.7,28.3,31.2,25.5
tane,2020,8,11,2,0,4.1,28.8,33.5,25.4
tane,2020,8,12,0,0,2.9,29,32.1,26
tane,2020,8,13,0,1,4,29.3,31.8,27.7
tane,2020,8,14,0,1,4.8,29.4,31.9,27.9
tane,2020,8,15,0,1,5,29.3,31.9,27.8
tane,2020,8,16,0,1,4.1,29.4,32.2,28
tane,2020,8,17,0,1,2.6,29.1,32.9,26.1
tane,2020,8,18,0,1,3,29.2,32.3,26.1
tane,2020,8,19,0,1,3.1,29.5,33.7,26.9
tane,2020,8,20,0,1,1.8,29.1,33.7,25.9
tane,2020,8,21,0,1,1.6,29.3,34.1,26.1
tane,2020,8,22,0,0,2.6,29.2,32.2,26.9
tane,2020,8,23,0,1,3.9,29.2,31.7,26.4
tane,2020,8,24,4.5,0,3.7,28.5,33,25.2
tane,2020,8,25,25.5,0,5.7,28.4,31.7,25.9
tane,2020,8,26,35.5,0,6.1,26.7,29.9,24.5
tane,2020,8,27,16,0,5.3,26.9,30.1,24.7
tane,2020,8,28,19.5,0,3,28.4,32.7,25
tane,2020,8,29,0,1,4.2,29.1,32.3,26.4
tane,2020,8,30,2,0,3.4,28.7,31.8,26.6
tane,2020,8,31,0.5,0,4.4,28.7,31.7,26.6
tane,2020,9,1,14.5,0,5.2,28.6,30.8,25.4
tane,2020,9,2,0,0,9.9,29,29.9,28.2
tane,2020,9,3,0,1,7,28.1,29.9,25.3
tane,2020,9,4,14.5,0,2.9,27,31.5,23.7
tane,2020,9,5,38,0,7.3,27.3,30.9,22.8
tane,2020,9,6,174.5,0,13.9,26,27.4,22.8
tane,2020,9,7,0,0,10.4,27,30,23.5
tane,2020,9,8,0,1,2.1,25.3,29.4,20.6
tane,2020,9,9,2,0,2,24.4,27.3,22.9
tane,2020,9,10,9.5,0,2.5,24.6,26.5,22.2
tane,2020,9,11,5,0,2.9,26.3,30,24.4
tane,2020,9,12,6,0,4.4,26.9,30.5,24.9
tane,2020,9,13,6,0,3.9,25.2,26.7,23.6
tane,2020,9,14,0,0,2.4,25.2,28.3,22.7
tane,2020,9,15,23.5,0,2.2,23.7,26.4,21.5
tane,2020,9,16,40.5,0,2,25.4,29.5,23.7
tane,2020,9,17,20,0,3.2,26.5,29.5,24.3
tane,2020,9,18,8.5,0,6.3,26.9,30.7,24.5
tane,2020,9,19,0,0,2.8,25.1,28.5,23
tane,2020,9,20,9,0,2.7,21.4,23.5,19.8
tane,2020,9,21,0,0,5.4,23.1,26.4,18.6
tane,2020,9,22,0,1,7.2,24.7,27.1,23.2
tane,2020,9,23,0,0,4.8,24.8,27,22.5
tane,2020,9,24,48.5,0,5.3,24.1,25.1,23.2
tane,2020,9,25,4,0,4.4,24.9,27.1,22.3
tane,2020,9,26,0,1,3,23.9,26.7,21.7
tane,2020,9,27,0,1,5.5,24.3,26.7,21.9
tane,2020,9,28,0,1,5.7,23.5,26.1,22.1
tane,2020,9,29,0,0,3.9,23.5,26.8,20.2
tane,2020,9,30,21.5,0,3.2,21.7,23.7,19.4
tane,2020,10,1,0,1,3.3,22.4,27,19.2
tane,2020,10,2,0,1,3.5,23,28.2,18.1
tane,2020,10,3,0,1,3.6,23.2,27.7,19.1
tane,2020,10,4,0,1,2.4,23.9,28.8,20.3
tane,2020,10,5,0,1,4.9,24.7,26.8,21.4
tane,2020,10,6,0,1,6.3,22.4,24.7,20.8
tane,2020,10,7,3.5,0,7.7,22.3,24,21.3
tane,2020,10,8,4,0,11,21.9,23.1,20.9
tane,2020,10,9,11.5,0,9.4,23.4,24.9,20.9
tane,2020,10,10,0,1,4.4,24.9,27.1,23
tane,2020,10,11,0,1,2.9,23.6,27.1,20.1
tane,2020,10,12,13,0,3.1,23.6,26.8,20.3
tane,2020,10,13,0,0,3,22.6,26.3,18.6
tane,2020,10,14,0,1,2.9,21.7,26.2,18.1
tane,2020,10,15,0,1,3.9,21.7,25.4,18.5
tane,2020,10,16,0,0,4.3,22.3,25.8,19.3
tane,2020,10,17,10,0,4.1,19.3,21.4,18
