ID	タイトル	タイトルよみ	版	シリーズタイトル	責任表示	出版者	出版地（国名コード）	出版年月日等	出版年（W3CDTF）	タイトル（掲載誌）	授与機関名・学位	刊行巻次	大きさ、容量等	縮尺	分類（NDC）	分類（NDLC）	件名標目	ジャンル・形式用語	請求記号	書誌ID（NDLBibID）	識別子（URI）	DOI	国立国会図書館永続的識別子	規格・リポート番号	ISBN	ISSN、ISSN-L	ISMN（国際標準楽譜番号）	発売番号	並列タイトル	受理日（W3CDTF）	目次	注記	本文の言語コード（ISO639-2）	記録形式	掲載巻	掲載号	掲載通号	一次資料へのリンクURL	原資料（URI）	関連情報（URI）	異版（URI）	掲載誌（URI）	目次・記事（URI）	別の記録形式である（URI）	別の記録形式を持つ（URI）	改題前（NDLJP）	改題後（NDLJP）	収集根拠	所蔵機関	連携機関・データベース	アクセスURL	資料種別	資料形態
R000000025-I012210000041117	屋久島におけるシマヘビの色彩二型, 特に温度生物学に関する論及	ヤクシマ ニ オケル シマヘビ ノ シキサイ ニガタ トクニ オンド セイブツガク ニ カンスル ロンキュウ			Tanaka, Koji	京都大学 (Kyoto University)		2006-03-23	2006-03-23		京都大学 , 博士(理学) , Doctor of Science				400							10.14989/doctor.k12150							Colour dimorphism in Elaphe quadrivirgata (Serpentes:Colubridae) on Yakushima Island, with special reference to its thermal biology		D_Tanaka_Koji.pdf , yrigk03044.pdf		eng																	学術機関リポジトリデータベース（IRDB）（機関リポジトリ）	http://hdl.handle.net/2433/73210	博士論文	デジタル
R000000025-I012210000110855	mtDNA変異の地理的分布からみた屋久島ニホンザルの完新世の歴史	mtDNA ヘンイ ノ チリテキ ブンプ カラ ミタ ヤクシマ ニホンザル ノ カンシンセイ ノ レキシ			早石, 周平	京都大学 (Kyoto University)		2004-03-23	2004-03-23		京都大学 , 博士(理学) , Doctor of Science				400																		jpn					http://repository.kulib.kyoto-u.ac.jp/dspace/bitstream/2433/147856/1/yrigk02796.pdf												学術機関リポジトリデータベース（IRDB）（機関リポジトリ）	http://hdl.handle.net/2433/147856	博士論文	デジタル
R000000025-I012210000112119	ニホンザルの分子生態学 : 屋久島の野生群における性行動と父性	ニホンザル ノ ブンシ セイタイガク : ヤクシマ ノ ヤセイグン ニ オケル セイコウドウ ト フセイ			Hayakawa, Sachiko	京都大学 (Kyoto University)		2003-03-24	2003-03-24		京都大学 , 博士(理学) , Doctor of Science				400														Molecular Ecology of the Japanese Macaque(Macaca fuscata yakui) : Sexual Behavior and Paternity in Wild Yakushima Troops				eng					http://repository.kulib.kyoto-u.ac.jp/dspace/bitstream/2433/149149/1/yrigk02689.pdf												学術機関リポジトリデータベース（IRDB）（機関リポジトリ）	http://hdl.handle.net/2433/149149	博士論文	デジタル
R000000025-I012210000113349	屋久島の野生ニホンザルにおける交尾コストの変異	屋久島の野生ニホンザルにおける交尾コストの変異			Matsubara, Miki	京都大学 (Kyoto University)		2001-05-23	2001-05-23		京都大学 , 博士(理学) , Doctor of Science				400														Variation of Mating Costs in Wild Japanese Macaques(Macaca fuscata yakui)on Yakushima Island.				eng					http://repository.kulib.kyoto-u.ac.jp/dspace/bitstream/2433/150384/1/yrigk02381.pdf												学術機関リポジトリデータベース（IRDB）（機関リポジトリ）	http://hdl.handle.net/2433/150384	博士論文	デジタル
R000000025-I012210000053670	屋久島のニホンザルの異なる標高帯への生態学的適応に関する研究	ヤクシマ ノ ニホンザル ノ コトナル ヒョウコウタイ エ ノ セイタイガクテキ テキオウ ニ カンスル ケンキュウ			半谷, 吾郎	京都大学 (Kyoto University)		2002-03-25	2002-03-25		京都大学 , 博士(理学) , Doctor of Science				400							10.14989/doctor.k9374							ECOLOGICAL ADAPTATIONS OF JAPANESE MACAQUES IN YAKUSHIMA INTO VARIOUS ALTITUDINAL ZONES		D_Hanya_Goro.pdf , yrigk02509.pdf		eng																	学術機関リポジトリデータベース（IRDB）（機関リポジトリ）	http://hdl.handle.net/2433/86471	博士論文	デジタル
R000000025-I012210000159940	屋久島の野生ニホンザルのオスの生活史と社会構造	屋久島の野生ニホンザルのオスの生活史と社会構造			Suzuki, Shigeru	京都大学 (Kyoto University)		1997-03-24	1997-03-24		京都大学 , 博士(理学) , Doctor of Science				400														Male life history and social structure of wild Japanese macaques in Yakushima, Japan.				eng					http://repository.kulib.kyoto-u.ac.jp/dspace/bitstream/2433/202456/1/yrigk01831.pdf												学術機関リポジトリデータベース（IRDB）（機関リポジトリ）	http://hdl.handle.net/2433/202456	博士論文	デジタル
R000000025-I012210000159946	屋久島・照葉樹林における動物散布植物の生態学的研究	屋久島・照葉樹林における動物散布植物の生態学的研究			野間, 直彦	京都大学 (Kyoto University)		1997-03-24	1997-03-24		京都大学 , 博士(理学) , Doctor of Science				400																		jpn					http://repository.kulib.kyoto-u.ac.jp/dspace/bitstream/2433/202462/1/yrigk01838.pdf												学術機関リポジトリデータベース（IRDB）（機関リポジトリ）	http://hdl.handle.net/2433/202462	博士論文	デジタル
R100000039-I12890022	The digesta particle size of Japanese macaques in Yakushima : variation, determinants and its potential influence on digestion	The digesta particle size of Japanese macaques in Yakushima : variation, determinants and its potential influence on digestion			He, Tianmeng	He, Tianmeng		2022	2022		京都大学 , 博士(理学)												info:ndljp/pid/12890022						屋久島におけるニホンザルの消化物粒子径 : 変動パターン, 決定要因および消化への潜在的影響	2023-06-12T15:28:03+09:00			eng															博士論文（送信）		国立国会図書館デジタルコレクション	https://dl.ndl.go.jp/pid/12890022	博士論文	デジタル
R100000039-I12319583	Geographical and seasonal variation of plant composition detected in feces of Cervus nippon yakushimae using plant DNA analysis, in Yakushima Island, Japan	Geographical and seasonal variation of plant composition detected in feces of Cervus nippon yakushimae using plant DNA analysis, in Yakushima Island, Japan			東, 悠斗			2022-06-30	2022-06-30		九州大学 , 博士（理学）												info:ndljp/pid/12319583						屋久島においてDNA分析を用いてヤクシカの糞便から検出された植物分類群の地域的・季節的変動	2022-09-05T13:46:15+09:00	2023-06-02 再収集 , 2023-09-01 再収集		eng									http://hdl.handle.net/2324/4795532						博士論文（自動収集）		国立国会図書館デジタルコレクション	https://dl.ndl.go.jp/pid/12319583	博士論文	デジタル
R100000039-I11339072	Differentiation of the vegetation-soil system through the interactions of soil N and P availabilities along an elevational gradient on Yakushima Island, Japan	Differentiation of the vegetation-soil system through the interactions of soil N and P availabilities along an elevational gradient on Yakushima Island, Japan			向井, 真那	向井, 真那		2019	2019		京都大学 , 博士(農学)												info:ndljp/pid/11339072						屋久島における標高傾度に沿った土壌窒素・リン可給性の相互作用を介した土壌-植生系の分化	2019-08-09T21:10:51+09:00			eng															博士論文（送信）		国立国会図書館デジタルコレクション	https://dl.ndl.go.jp/pid/11339072	博士論文	デジタル
